swab_id,bd_load
RKS34712,1084.4104952
RKS34713,14197.790072
RKS34714,0
RKS34715,391.79559952
RKS34716,2729.2489008
RKS34717,7337.2374056
RKS34814,4966.1483944
RKS34815,13274.574848
RKS34816,4879.1397792
RKS34817,19686.0266
RKS35359,0
RKS35360,10468.672
RKS35361,0
RKS35362,8225.224
RKS35363,14073.48
RKS35364,21400.248
RKS35365,295.88368
RKS36290,156.48988232
RKS36291,95882.2648
RKS36292,8021.41048
RKS36293,22050.568328
RKS36294,0
RKS36295,59324.341056
RKS36296,593.79591384
RKS36297,449743.18848
RKS36298,274.6402192
RKS36299,11299.6
RKS36300,0
RKS36301,2530.4
RKS36450,0
RKS36451,3149.080252
RKS36452,23964.016408
RKS36453,222.638652
RKS36454,18950.113816
RKS36455,1340.6266536
RKS36456,7565.7988072
RKS36457,461.00739232
RKS36458,3423.0330944
RKS36459,98.4864216
RKS36460,0
RKS36461,3624.0366408
RKS36462,6277.4081552
RKS36463,3746.0981352
RKS36464,23168.453848
RKS36465,0
RKS36466,878.4467976
RKS36467,58.05857928
RKS36468,3387.9535728
RKS36469,0
RKS36470,11665.685408
RKS36471,0
RKS36472,22658.163408
RKS36473,0
RKS36474,0
RKS36475,12651.089832
RKS36476,432.12365696
RKS36477,0
RKS36478,4110.2828144
RKS36479,0
RKS36480,881.1969832
RKS36481,25666.255792
RKS36482,3182.2
RKS36483,213.4634228
RKS36484,0
RKS36485,0
RKS36486,0
RKS36487,0
RKS36488,0
RKS36489,0
RKS36490,0
RKS36491,0
RKS36492,0
RKS36493,0
RKS36494,1647.458464
RKS36495,36015.318352
RKS36496,0
RKS36497,0
RKS36498,108.08777648
RKS36499,393.47116656
RKS36501,9438.673432
RKS36502,0
RKS36503,0
RKS36504,23998.299736
RKS36505,0
RKS36506,0
RKS36507,165.34876736
RKS36508,0
RKS36509,0
RKS36510,0
RKS36511,0
RKS36512,0
RKS36513,0
RKS36514,0
RKS36515,33210.16708
RKS36516,2909.2316496
RKS36517,7162.0788656
RKS36518,298.12971304
RKS36519,94.77523792
RKS36520,567.32264392
RKS36521,0
RKS36522,14764.37892
RKS36523,0
RKS36524,5408.0864768
RKS36525,905.0096
RKS36526,14875.76
RKS36527,0
RKS36528,1627.5448
RKS36529,208.04328
RKS36530,1491.0681144
RKS36531,10091.783376
RKS36532,15654.726376
RKS36533,11749.406112
RKS36534,0
RKS36535,10050.626728
RKS36536,10195.653256
RKS36537,1996.4761352
RKS36538,680.83337504
RKS36539,123.402218
RKS36540,252.73081216
RKS36541,5546.7125368
RKS36542,1030.7837048
RKS36543,1604.0061808
RKS36544,0
RKS36545,0
RKS36546,2645.7483144
RKS36547,104.97588968
RKS36548,0
RKS36549,0
RKS36550,0
RKS36551,1759.172764
RKS36552,0
RKS36553,219.57031624
RKS36580,385.16518864
RKS36581,18748.787504
RKS36582,16582.099976
RKS36583,34.06129448
RKS36584,11073.419496
RKS36588,359.43328136
RKS36589,4966.1514952
RKS36638,16249.05008
